sample_number,sample_name,aspect_ratio,circularity,type_ianetta,type_shull,length(cm),width(cm),preimeter(cm),area(cm),state,climate_region,id,id2,city_county_state,latitude,longitude,elevation,month,day,year,precp(in),max_temp C,min_temp C,avg_temp C,avg_tmax_six_months_prior,avg_tmin_six_months_prior,avgtemp(6monthsprior),avg_tmax_previous_ year,avg_tmin_previous_ year,tavg_previous_ year,avg_tmax_ year_DOC,avg_tmin_ year_DOC,tavg_ year_DOC,avgprecp(6monthsprior),avg_precp_previous_year,avg_precp_year_DOC
159,CBP_10_IND_INDI,2.144140794,0.188334692,Type3,simplex,4.92,2.17,17.29,17.10,IN,Ohio_Valley,N/A,N/A,Indiana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160,CBP_10_JMUH_VIR,5.041468886,0.206525762,Type3,simplex,2.59,0.36,7.02,6.95,VI,Southeast,N/A,N/A,"Harrisonburg, Rockingham County, Virginia",38.44,-78.87,301.00,April,N/A,1974,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161,CBP_10_MARY_MARY,2.756741938,0.090866801,Type3,simplex,7.95,3.10,37.46,36.98,MD,Northeast,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.36,-76.03,21.00,May,4,1965,27.44,123.58,7.83,65.70,9.71,-1.15,4.28,18.60,6.22,12.41,20.24,8.35,14.30,2.61,2.07,2.52
162,CBP_10_MICH_MICH,2.699970571,0.578597198,Type3,simplex,3.20,1.10,7.37,7.37,MI,Upper_Midwest,Big Rapids,Big Rapids1,"Big Rapids, Mecosta County, Michigan",43.71,-85.36,969.00,May,4,1998,0.00,23.33,7.80,15.57,6.28,-3.47,1.40,14.59,3.34,8.97,15.76,3.61,9.68,2.13,3.01,2.09
163,CBP_10_ODU_VIR,3.139597553,0.206681618,Type1a2,simplex,1.06,0.29,3.65,3.54,VI,Southeast,virginiabeach,virginiabeach2,"Virginia Beach, Princess Anne, Virginia",36.77,-76.16,301.00,April,23,1966,5.96,20.30,11.72,16.01,12.25,2.91,7.58,19.62,10.34,14.98,19.11,10.04,14.58,1.86,2.15,2.79
164,CBP_10_SAT_Tex,2.727846816,0.215044082,Type3,simplex,4.61,1.65,18.10,17.31,TX,South,Bryan,Bryan1,"Bryan, Texas",30.67,-96.37,113.00,March ,8,1977,0.00,21.68,5.58,13.63,16.71,4.32,10.52,23.80,11.75,17.77,26.34,13.82,20.08,3.01,3.21,2.03
165,CBP_10_SAT_Tex,2.723189326,0.166314499,Type3,simplex,4.68,1.27,19.47,18.73,TX,South,Bryan,Bryan1,"Bryan, Texas",30.67,-96.37,113.00,March ,8,1977,0.00,21.68,5.58,13.63,16.71,4.32,10.52,23.80,11.75,17.77,26.34,13.82,20.08,3.01,3.21,2.03
166,CBP_10_URV_VIR,2.7517969,0.142105227,Type3,simplex,6.52,2.02,23.21,22.90,VI,Southeast,richmond,richmond8,"Richmond City, N/A, Virginia",37.54,-77.43,50.70,May,20,1931,0.93,28.35,17.80,23.08,12.37,0.14,6.26,20.18,8.02,14.10,19.72,8.01,13.87,3.88,3.38,4.29
167,CBP_10_UWFP_FLOR,3.596269717,0.181143592,Type1a2,simplex,8.66,2.07,27.02,26.76,FL,Southeast,pensacola,pensacola10,"Pensacola, Escambia County, Florida",30.43,-87.24,31.00,January,29,1989,0.00,22.66,6.66,14.66,19.20,7.27,13.23,24.03,12.31,18.17,24.80,13.85,19.33,4.27,4.52,3.77
168,CBP_10_WIS_WIS,2.28528387,0.394305038,Type3,simplex,5.53,1.58,15.42,15.26,WI,Upper_Midwest,N/A,N/A,Wisconsin,N/A,N/A,N/A,N/A,4,1876,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
169,CBP_11_BALT_MARY,2.968094648,0.170489928,Type3,simplex,4.70,1.61,16.18,15.91,MD,Northeast,silverspring,silverspring2,Montgomery County_Maryland_Silver Spring,39.01,-77.03,104.00,May,6,1977,29.46,149.83,28.51,89.17,10.98,-1.31,4.83,18.16,5.94,12.05,18.12,6.45,12.28,1.80,2.67,3.00
170,CBP_11_BRIT_Tex,3.198310527,0.446238962,Type3,simplex,3.03,0.62,8.00,7.57,TX,South,FortWorth,FortWorth1,"Fort Worth, Texas",32.73,-97.32,198.00,April,1,1926,1.04,-5.92,-14.53,-10.23,1.64,15.14,2.85,24.07,12.02,18.04,20.35,8.67,14.51,1.64,2.12,2.57
171,CBP_11_CSCN_IDA,,,,,5.38,1.20,13.47,13.33,NE,Northern_Rockies_and_Plains,chadron,chadron2,Dawes County_Nebraska_Chadron,42.84,-103.00,1030.00,April ,16,1977,0.00,17.43,-0.17,8.63,6.79,-8.01,-0.61,16.41,0.66,8.54,18.45,2.76,10.60,1.13,1.25,1.56
172,CBP_11_IND_INDI,3.006978647,0.115282066,Type3,simplex,4.67,1.59,22.67,22.31,IN,Ohio_Valley,mountvernon,mountvernon,"Mount Vernon, Posey County, Indiana",37.93,-87.90,121.00,April,11,2021,3.80,20.27,9.43,14.85,10.73,-0.04,5.35,19.21,8.09,13.65,20.00,8.66,14.33,2.94,3.88,3.34
173,CBP_11_JMUH_VIR,3.479883326,0.278477656,Type3,simplex,2.17,0.51,6.18,6.12,VI,Southeast,harrisonburg,harrisonburg9,"Harrisonburg, Rockingham County, Virginia",38.43,-78.87,301.00,April,7,1976,0.00,16.80,0.45,8.63,10.65,-2.23,4.21,17.91,5.21,11.56,17.13,3.59,10.36,1.84,2.96,2.79
174,CBP_11_MARY_MARY,2.786435236,0.075324181,Type3,simplex,5.85,2.29,33.44,32.78,MD,Northeast,northbesthesda,northbesthesda,Montgomery County_Maryland_North Bethesda,39.03,-77.10,120.00,April,12,1973,36.29,111.91,31.22,71.56,10.59,-0.03,5.28,18.58,7.12,12.85,18.27,9.61,13.94,3.90,3.97,3.66
175,CBP_11_MICH_MICH,2.849953306,0.108679884,Type6,simplex,7.69,2.67,29.36,29.25,MI,Upper_Midwest,Big Rapids,Big Rapids2,"Big Rapids, Mecosta County, Michigan",43.52,-85.33,969.00,May,11,2002,3.23,13.05,-1.65,5.70,22.29,9.47,15.88,12.33,1.34,6.84,13.87,2.57,8.22,2.84,2.70,2.17
176,CBP_11_SAT_Tex,3.510004148,0.148996556,Type3,simplex,7.34,2.27,32.83,31.97,TX,South,Bryan,Bryan3,"Bryan, Texas",30.67,-96.37,113.00,February,25,1977,0.00,28.33,11.40,19.86,19.01,6.75,12.88,23.94,11.98,17.96,26.34,13.82,20.08,3.29,3.21,2.03
177,CBP_11_SAT_Tex,2.820457015,0.116873542,Type3,simplex,7.34,2.27,32.83,31.97,TX,South,Bryan,Bryan3,"Bryan, Texas",30.67,-96.37,113.00,February,25,1977,0.00,28.33,11.40,19.86,19.01,6.75,12.88,23.94,11.98,17.96,26.34,13.82,20.08,3.29,3.21,2.03
178,CBP_11_URV_VIR,3.619426915,0.239951779,Type3,simplex,4.57,0.89,12.09,11.89,VI,Southeast,richmond,richmond9,"Richmond City, N/A, Virginia",37.54,-77.43,50.70,April ,4,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
179,CBP_11_UWFP_FLOR,3.563384958,0.127241555,Type3,simplex,5.91,1.60,22.84,22.40,FL,Southeast,pensacola,pensacola11,"Pensacola, Escambia County, Florida",30.43,-87.24,31.00,March,3,1986,0.50,20.56,7.66,14.11,19.96,8.10,14.03,25.37,14.60,19.99,25.20,13.97,19.59,3.75,5.02,4.99
180,CBP_11_WIS_WIS,3.179349283,0.334916677,Type3,simplex,5.00,1.53,12.74,12.53,WI,Upper_Midwest,waupan,waupan,"Waupan, Fond Du Lac County, Wisconsin",43.66,-88.86,969.00,June,6,1965,6.56,26.41,16.68,21.54,6.36,-4.36,1.00,6.36,-4.36,1.00,6.36,-4.36,1.00,1.83,1.83,1.83
181,CBP_12_BALT_MARY,3.494450232,0.102691626,Type3,simplex,8.83,2.60,39.69,39.25,MD,Northeast,gaithersburg,gaithersburg,Montgomery County_ Maryland_Gaithersburg,39.21,-77.00,106.00,May,9,1981,18.85,104.13,-10.15,46.99,11.14,-0.83,5.16,19.10,6.65,12.88,17.96,6.69,12.32,1.69,2.12,2.44
182,CBP_12_BRIT_Tex,2.832332237,0.228893968,Type6,simplex,6.05,1.74,21.87,21.24,TX,South,FortWorth,FortWorth8,"Fort Worth, Texas",32.73,-97.32,198.00,April ,6,1999,0.00,25.83,8.76,17.30,19.53,7.86,13.70,24.69,11.90,18.30,24.15,12.05,18.10,2.77,2.30,2.19
183,CBP_12_CSCN_IDA,,,,,4.89,1.42,18.71,18.38,NE,Northern_Rockies_and_Plains,chadron,chadron3,Dawes County_Nebraska_Chadron,42.82,-130.01,1030.00,May,16,2007,0.38,18.73,6.83,12.78,9.85,-6.14,1.85,18.11,1.35,9.73,17.39,0.85,9.12,0.93,1.02,0.98
184,CBP_12_MICH_MICH,4.078295185,0.220943164,Type6,simplex,6.87,1.64,20.11,20.04,MI,Upper_Midwest,Port Huron,Port Huron,"Port Huron, St. Clair County, Michigan",42.97,-82.42,6961.00,June,20,1892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
185,CBP_12_SAT_Tex1,2.711511489,0.441806705,Type3,simplex,7.02,1.77,18.24,17.81,TX,South,Coleman,Coleman1,"Coleman, Texas",31.83,-99.43,518.00,February ,18,1994,0.00,20.93,7.23,14.08,20.36,5.55,12.95,24.89,10.19,17.54,25.15,10.89,18.02,1.65,1.54,2.23
186,CBP_12_SAT_Tex2,3.67611597,0.414373812,Type3,simplex,7.69,2.34,22.47,21.94,TX,South,Coleman,Coleman1,"Coleman, Texas",31.83,-99.43,518.00,February ,18,1994,0.00,20.93,7.23,14.08,20.36,5.55,12.95,24.89,10.19,17.54,25.15,10.89,18.02,1.65,1.54,2.23
187,CBP_12_SAT_Tex3,4.069219327,0.406242432,Type6,simplex,7.69,2.34,22.47,21.94,TX,South,Coleman,Coleman1,"Coleman, Texas",31.83,-99.43,518.00,February ,18,1994,0.00,20.93,7.23,14.08,20.36,5.55,12.95,24.89,10.19,17.54,25.15,10.89,18.02,1.65,1.54,2.23
188,CBP_12_URV_VIR,3.829557574,0.326123419,Type1a3,simplex,7.12,1.50,16.88,16.74,VI,Southeast,richmond,richmond10,"Richmond City, N/A, Virginia",37.54,-77.43,50.70,April ,27,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
189,CBP_12_UWFP_FLOR,1.934435262,0.071067234,Type3,simplex,4.17,2.20,29.95,29.39,FL,Southeast,milton,milton,"Milton, Santa Rosa County, Florida",30.64,-87.06,10.00,February,24,1990,0.00,20.68,1.92,11.30,21.88,10.02,15.95,25.13,13.70,19.41,26.55,13.95,20.25,5.34,6.10,4.15
190,CBP_12_WIS_WIS,4.257350984,0.360319389,Type3,simplex,8.85,2.05,19.10,19.05,WI,Upper_Midwest,madison,madison7,"Madison, Madison County, Wisconsin",43.07,-89.40,16732.00,October,N/A,1893,0.00,27.16,17.99,22.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
191,CBP_13_BRIT_Tex,3.922476379,0.356374563,Type1a2,simplex,5.08,1.07,12.75,12.35,TX,South,FortWorth,FortWorth2,"Fort Worth, Texas",32.73,-97.32,198.00,February ,25,1974,0.00,9.80,-6.68,1.56,20.65,7.33,13.99,24.27,11.45,17.86,24.50,11.59,18.04,2.32,2.83,2.61
192,CBP_13_BRIT_Tex,5.080908648,0.234220533,Type3,simplex,5.49,1.01,13.96,13.55,TX,South,FortWorth,FortWorth5,"Fort Worth, Texas",32.73,-97.32,198.00,February ,25,1974,0.00,9.80,-6.68,1.56,17.62,5.89,11.75,26.34,14.08,20.21,26.16,13.28,19.72,2.58,1.98,1.78
193,CBP_13_CSCN_IDA,,,,,7.31,1.74,21.04,20.96,NE,Northern_Rockies_and_Plains,mullen,mullen1,Hooker County_Nebraska_Mullen,42.04,-101.05,979.00,April ,10,1985,0.00,20.53,0.93,10.73,5.58,-8.61,-1.52,15.75,0.84,8.29,14.84,0.19,7.51,0.65,1.40,1.23
194,CBP_13_MICH_MICH,4.991659561,0.341241104,Type1a1,simplex,6.29,0.96,13.61,13.59,MI,Upper_Midwest,Alpena,Alpena,"Alpena, Alpena County, Michigan",45.08,-83.44,969.00,May,26,1972,N/A,N/A,N/A,N/A,-2.10,-5.70,-3.90,10.93,-0.05,5.44,10.51,0.18,5.34,1.68,2.06,2.13
195,CBP_13_SAT_Tex,3.29544666,0.327397684,Type1a2,simplex,3.58,0.98,11.00,10.21,TX,South,SanAngelo,SanAngelo1,"San Angelo, Texas",31.46,-100.44,561.00,Feb,25,2002,0.00,24.23,1.83,13.03,20.66,5.50,13.08,25.71,11.02,18.37,25.67,11.19,18.43,1.19,1.16,1.41
196,CBP_13_URV_VIR,,,,,N/A,N/A,N/A,N/A,VI,Southeast,N/A,N/A,Virginia,N/A,N/A,N/A,April,30,1935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
197,CBP_13_UWFP_FLOR,2.958722014,0.195003736,Type3,simplex,10.07,3.24,41.60,41.12,FL,Southeast,jacksonville,jacksonville,"Jacksonville, Duval County, Florida",30.33,-81.66,5.00,February,9,2003,11.11,10.39,5.94,8.16,22.25,12.04,17.15,25.42,15.44,20.43,25.46,15.40,20.43,4.03,3.69,3.21
198,CBP_13_WIS_WIS,2.839259902,0.330268364,Type3,simplex,5.15,1.35,14.70,14.45,WI,Upper_Midwest,N/A,N/A," Milwaukee, Milwaukee County, Wisconsin",43.04,-87.91,19945.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
199,CBP_14_BRIT_Tex,1.937826881,0.761057573,Type3,simplex,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198.00,March ,11,1979,0.00,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.20,18.43,4.16,3.24,3.75
200,CBP_14_BRIT_Tex,1.937826881,0.761057573,Type3,simplex,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198.00,March ,11,1979,0.00,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.20,18.43,4.16,3.24,3.75
201,CBP_14_BRIT_Tex,3.68688278,0.534972007,Type3,simplex,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198.00,March ,11,1979,0.00,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.20,18.43,4.16,3.24,3.75
202,CBP_14_BRIT_Tex,2.585333151,0.596447972,Type3,simplex,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198.00,March ,11,1979,0.00,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.20,18.43,4.16,3.24,3.75
203,CBP_14_CSCN_IDA,,,,,3.77,1.02,8.24,8.24,NE,Northern_Rockies_and_Plains,mullen,mullen2,Hooker County_Nebraska_Mullen,42.04,-101.05,979.00,May,29,1986,4.23,18.87,6.50,12.68,8.75,-4.05,2.35,14.83,1.01,7.92,16.41,2.21,9.31,1.61,1.65,1.88
204,CBP_14_MICH_MICH,2.512797786,0.097177328,Type3,simplex,4.27,1.86,21.53,21.38,MI,Upper_Midwest,Springfield,Springfield,"Springfield, Kalamazoo County, Michigan",42.34,-85.31,969.00,April,27,1994,11.86,26.10,12.61,19.36,4.85,-5.52,-0.33,13.67,2.41,8.04,15.50,3.74,9.62,1.45,2.54,2.55
205,CBP_14_SAT_Tex,,,,,4.27,1.18,9.51,9.31,TX,South,SanAngelo,SanAngelo2,"San Angelo, Texas",31.27,-100.28,579.00,March,7,2012,0.00,22.80,12.10,17.45,19.41,4.23,11.82,28.21,11.80,20.00,26.72,11.45,19.09,2.09,1.52,2.44
206,CBP_14_WIS_WIS,3.698587495,0.146244405,Type3,simplex,4.90,1.00,15.00,14.70,WI,Upper_Midwest,madison,madison2,"Madison, Dane County, Wisconsin",43.07,-89.40,16732.00,May,25,1877,0.00,16.60,8.08,12.34,1.88,-5.39,-1.75,1.88,-5.39,-1.75,1.88,-5.39,-1.75,1.19,1.19,1.19
207,CBP_15_BRIT_Tex,3.86870586,0.313492307,Type3,simplex,2.66,0.70,6.51,6.39,TX,South,Arlington,Arlington1,"Arlington, Texas",32.74,-97.11,183.00,March ,19,1971,2.00,16.34,1.34,8.84,18.97,5.32,12.15,25.17,12.74,18.96,24.79,12.51,18.65,0.91,1.86,2.62
208,CBP_15_MICH_MICH,2.478581788,0.413710747,Type3,simplex,3.10,1.23,8.71,4.37,MI,Upper_Midwest,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
209,CBP_15_SAT_Tex,3.371852162,0.34203304,Type3,simplex,6.07,1.93,17.88,17.65,TX,South,Llano,Llano1,"Llano, Texas",30.76,-96.68,99.00,February ,11,2016,0.00,25.57,5.20,15.38,23.50,10.16,16.83,26.28,14.01,20.15,26.80,14.31,20.55,4.59,4.28,4.02
210,CBP_15_SAT_Tex,4.82937037,0.374619683,Type3,simplex,4.39,1.42,17.29,16.66,TX,South,Llano,Llano2,"Llano, Texas",30.76,-96.68,99.00,February ,11,2016,0.00,25.57,5.20,15.38,23.50,10.16,16.83,26.28,14.01,20.15,26.80,14.31,20.55,4.59,4.28,4.02
211,CBP_15_WIS_WIS,4.210071636,0.271346689,Type3,simplex,4.21,0.68,11.16,10.79,WI,Upper_Midwest,wentbend,wentbend,"Went Bend, Waukesha County, Wisconsin",42.92,-88.47,969.00,May,10,1969,1.96,12.74,3.13,7.93,4.43,-5.47,-0.52,4.43,-5.47,-0.52,4.43,-5.47,-0.52,1.56,1.56,1.56
212,CBP_16_BRIT_Tex,3.034281234,0.487643598,Type3,simplex,1.90,0.87,6.33,6.09,TX,South,FortWorth,FortWorth11,"Fort Worth, Texas",32.73,-97.32,198.00,February ,25,1974,0.00,9.80,-6.68,1.56,2.32,20.65,7.33,24.27,11.45,17.86,24.50,11.59,18.04,2.32,2.83,2.61
213,CBP_16_BRIT_Tex,3.10113111,0.495070087,Type3,simplex,1.98,0.50,3.88,3.86,TX,South,FortWorth,FortWorth11,"Fort Worth, Texas",32.73,-97.32,198.00,February ,25,1974,0.00,9.80,-6.68,1.56,2.32,20.65,7.33,24.27,11.45,17.86,24.50,11.59,18.04,2.32,2.83,2.61
214,CBP_16_BRIT_Tex,3.404644719,0.361300681,Type3,simplex,2.28,0.74,5.86,5.76,TX,South,FortWorth,FortWorth11,"Fort Worth, Texas",32.73,-97.32,198.00,February ,25,1974,0.00,9.80,-6.68,1.56,2.32,20.65,7.33,24.27,11.45,17.86,24.50,11.59,18.04,2.32,2.83,2.61
215,CBP_16_CSCN_IDA,,,,,4.42,1.61,15.03,15.00,NE,Northern_Rockies_and_Plains,gering,gering,Scottsbluff County_Nebraska_Gering,41.82,-103.66,1192.00,May,17,1976,0.00,20.00,0.68,10.34,9.99,-5.03,2.48,17.47,0.88,9.17,17.63,0.86,9.25,0.74,0.77,0.77
216,CBP_16_MICH_MICH,3.318058053,0.186531725,Type3,simplex,4.21,1.14,14.73,14.63,MI,Upper_Midwest,Tawas City,Tawas City,"Tawas City, Iosco County, Michigan",44.42,-83.33,2358.00,May,12,1992,0.00,26.10,13.05,19.58,4.35,-4.90,-0.28,14.29,3.23,8.76,12.25,1.96,7.11,1.74,2.27,2.34
217,CBP_16_SAT_Tex,3.001078476,0.380828018,Type3,rhomboidea,4.59,1.32,14.01,13.63,TX,South,Brady,Brady1,"Brady, Texas",31.14,-99.33,505.00,February ,8,2016,0.00,17.80,-0.57,8.62,23.41,9.03,16.22,26.19,12.71,19.45,26.15,13.17,19.66,2.09,2.64,2.74
218,CBP_16_SAT_Tex,3.551684913,0.290792612,Type3,simplex,9.34,1.79,17.72,17.37,TX,South,Brady,Brady1,"Brady, Texas",31.14,-99.33,505.00,February ,8,2016,0.00,17.80,-0.57,8.62,23.41,9.03,16.22,26.19,12.71,19.45,26.15,13.17,19.66,2.09,2.64,2.74
219,CBP_16_WIS_WIS,4.173846491,0.352851773,Type3,simplex,4.95,1.10,10.60,10.60,WI,Upper_Midwest,N/A,N/A,"Wisconsin, ",N/A,N/A,N/A,May,22,1962,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
220,CBP_17_BRIT_Tex,3.015089249,0.533229065,Type3,simplex,11.90,3.36,39.61,38.85,TX,South,Arlington,Arlington2,"Arlington, Texas",32.74,-97.11,183.00,March,7,1974,0.00,28.76,18.10,23.43,19.34,6.47,12.91,24.55,12.55,18.55,24.60,12.43,18.52,1.97,2.89,2.69
221,CBP_17_CSCN_IDA,,,,,3.16,1.60,11.80,11.67,NE,Northern_Rockies_and_Plains,crawford,crawford,Sioux County_Nebraska_Crawford,42.92,-103.64,1121.00,May,15,1978,1.28,29.80,12.77,21.28,4.61,-8.06,-1.72,16.92,1.97,9.44,14.01,-0.91,6.55,1.05,1.27,1.10
222,CBP_17_MICH_MICH,3.42484867,0.286769547,Type3,simplex,4.28,1.27,11.44,11.37,MI,Upper_Midwest,Otsego,Otsego,"Otsego, Allegan County, Michigan",42.46,-85.73,969.00,June,11,2017,0.00,31.75,18.25,25.00,11.81,1.48,6.65,16.39,5.79,11.09,15.75,4.95,10.35,2.93,3.30,3.42
223,CBP_17_SAT_Tex,2.528103149,0.255358155,Type6,simplex,31.38,6.32,3.34,3.38,TX,South,Eden,Eden,"Eden, Texas",31.21,-99.85,622.00,February ,10,2016,0.00,22.60,-2.02,10.29,22.66,7.25,14.96,25.55,11.16,18.35,25.70,11.88,18.79,2.36,2.67,2.93
224,CBP_17_WIS_WIS,1.88818921,0.213671323,Type3,simplex,4.40,0.90,12.40,12.15,WI,Upper_Midwest,elkhom,elkhom,"Elkhorn, Walworth County, Wisconsin",42.72,-88.45,969.00,May,9,1938,1.15,11.95,2.75,7.35,5.15,-3.95,0.60,5.15,-3.95,0.60,5.15,-3.95,0.60,2.14,2.14,2.14
225,CBP_18_BRIT_Tex,2.609581081,0.378284782,Type3,simplex,3.37,1.33,14.68,14.15,TX,South,Arlington,Arlington3,"Arlington, Texas",32.74,-97.11,183.00,February ,22,1973,1.95,11.83,4.76,8.24,18.08,6.95,12.52,24.46,12.22,18.34,23.85,12.32,18.08,2.53,1.96,3.11
226,CBP_18_BRIT_Tex,2.430350536,0.152024177,Type3,simplex,3.45,0.93,9.35,8.93,TX,South,Arlington,Arlington5,"Arlington, Texas",32.74,-97.11,183.00,February ,22,1973,1.95,11.83,4.76,8.24,18.08,6.95,12.52,24.46,12.22,18.34,23.85,12.32,18.08,2.53,1.96,3.11
227,CBP_18_BRIT_Tex,3.002597014,0.209612129,Type3,simplex,3.15,1.12,11.11,10.73,TX,South,Arlington,Arlington5,"Arlington, Texas",32.74,-97.11,183.00,February ,22,1973,1.95,11.83,4.76,8.24,18.08,6.95,12.52,24.46,12.22,18.34,23.85,12.32,18.08,2.53,1.96,3.11
228,CBP_18_BRIT_Tex,3.008115033,0.256984503,Type3,simplex,13.96,2.95,1.15,1.22,TX,South,Arlington,Arlington5,"Arlington, Texas",32.74,-97.11,183.00,February ,22,1973,1.95,11.83,4.76,8.24,18.08,6.95,12.52,24.46,12.22,18.34,23.85,12.32,18.08,2.53,1.96,3.11
229,CBP_18_WIS_WIS,2.389131154,0.099235944,Type3,simplex,4.63,1.47,17.16,16.63,WI,Upper_Midwest,waukesha,waukesha,"Waukesha, Waukesha County, Wisconsin",43.01,-88.31,969.00,June,10,1959,0.18,30.22,20.12,25.17,8.28,-3.15,2.57,8.28,-3.15,2.57,8.28,-3.15,2.57,1.81,1.81,1.81
230,CBP_19_BRIT_Tex,2.452167064,0.169631024,Type3,simplex,3.30,0.82,9.85,9.40,TX,South,Franklin,Franklin1,"Franklin, Texas",31.03,-96.49,137.00,February,20,1982,0.00,24.23,8.13,16.18,21.68,8.76,15.22,25.69,13.29,19.49,25.74,13.12,19.43,2.49,2.70,2.26
231,CBP_19_BRIT_Tex,4.348301653,0.260155777,Type3,simplex,3.27,0.93,10.30,10.02,TX,South,Franklin,Franklin2,"Franklin, Texas",31.03,-96.49,137.00,February,20,1982,0.00,24.23,8.13,16.18,21.68,8.76,15.22,25.69,13.29,19.49,25.74,13.12,19.43,2.49,2.70,2.26
232,CBP_19_WIS_WIS,4.024086626,0.371505512,Type1a2,simplex,6.35,2.30,19.60,19.30,WI,Upper_Midwest,N/A,N/A,Wisconsin,N/A,N/A,N/A,N/A,N/A,1886,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
233,CBP_2_ACU_Tex,2.584439628,0.289871881,Type3,simplex,2.43,0.66,5.02,4.99,TX,South,Abilene,Abilene3,"Abilene, Texas",32.45,-99.73,524.00,March,3,1970,0.00,16.90,3.10,10.00,28.15,14.83,21.49,24.46,11.68,18.07,24.53,11.64,18.09,1.92,1.80,1.75
234,CBP_2_ALB_MICH,1.96467859,0.130342263,Type3,simplex,2.62,1.21,12.59,12.33,MI,Upper_Midwest,Albion,Albion,"Albion, Calhoun County, Michigan",42.24,-84.74,84.00,May,3,1927,N/A,N/A,N/A,N/A,5.26,-4.06,0.60,13.39,2.73,8.06,14.86,3.66,9.26,1.72,2.28,2.49
235,CBP_2_ASDM_ARIZ,3.896000622,0.416362671,Type3,simplex,2.52,0.62,4.76,4.79,AZ,Southwest,N/A,N/A,Pima County_Arizona_Tuscon,32.22,-111.13,728.00,N/A,N/A,1993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
236,CBP_2_ASU_ARIZ,2.991005834,0.115709669,Type3,simplex,4.75,1.65,19.75,19.28,AZ,Southwest,phoenix,phoenix1,Maricopa County_Arizona_Phoenix,33.43,-112.07,331.00,February,1,2014,0.00,17.50,7.66,12.58,26.06,11.79,18.93,30.16,15.43,22.79,30.27,15.61,22.94,9.54,6.92,9.69
237,CBP_2_BALT_MARY,2.852826445,0.129595936,Type3,simplex,6.80,2.78,28.29,27.89,MD,Northeast,cockeysville,cockeysville,Baltimore County_Maryland_Cockeysville,39.48,-76.64,94.00,May,12,1970,19.36,116.95,-1.16,57.90,9.06,-1.53,3.77,17.47,6.21,11.84,19.45,7.72,13.58,3.10,2.94,2.69
238,CBP_2_BRIT_OKLA,3.980780432,0.399382765,Type3,simplex,6.60,1.45,14.15,14.15,OK,South,norman,norman,"Norman, Cleveland County, Oklahoma",35.22,-97.44,357.00,May,15,2007,0.20,26.74,15.31,21.03,15.14,3.38,9.26,23.31,10.14,16.73,21.73,9.98,15.86,3.76,3.03,4.22
